time,thrust
979,4.666112583
980,4.666006623
981,4.665900662
982,4.665794702
983,4.665688742
984,4.665582781
985,4.665476821
986,4.665370861
987,4.665264901
988,4.66515894
989,4.66505298
990,4.66494702
991,4.66484106
992,4.664735099
993,4.664629139
994,4.664523179
995,4.664417219
996,4.664311258
997,4.664205298
998,4.664099338
999,4.663993377
1000,4.663887417
1001,4.663781457
1002,4.663675497
1003,4.663569536
1004,4.663463576
1005,4.663357616
1006,4.663251656
1007,4.663145695
1008,4.663039735
1009,4.662933775
1010,4.662827815
1011,4.662721854
1012,4.662615894
1013,4.662509934
1014,4.662403974
1015,4.662298013
1016,4.662192053
1017,4.662086093
1018,4.661980132
1019,4.661874172
1020,4.661768212
1021,4.661662252
1022,4.661556291
1023,4.661450331
1024,4.661344371
1025,4.661238411
1026,4.66113245
1027,4.66102649
1028,4.66092053
1029,4.66081457
1030,4.660708609
1031,4.660602649
1032,4.660496689
1033,4.660390728
1034,4.660284768
1035,4.660178808
1036,4.660072848
1037,4.659966887
1038,4.659860927
1039,4.659754967
1040,4.659649007
1041,4.659543046
1042,4.659437086
1043,4.659331126
1044,4.659225166
1045,4.659119205
1046,4.659013245
1047,4.658907285
1048,4.658801325
1049,4.658695364
1050,4.658589404
1051,4.658483444
1052,4.658377483
1053,4.658271523
1054,4.658165563
1055,4.658059603
1056,4.657953642
1057,4.657847682
1058,4.657741722
1059,4.657635762
1060,4.657529801
1061,4.657423841
1062,4.657317881
1063,4.657211921
1064,4.65710596
1065,4.657
1066,4.65689404
1067,4.656788079
1068,4.656682119
1069,4.656576159
1070,4.656470199
1071,4.656364238
1072,4.656258278
1073,4.656152318
1074,4.656046358
1075,4.655940397
1076,4.655834437
1077,4.655728477
1078,4.655622517
1079,4.655516556
1080,4.655410596
1081,4.655304636
1082,4.655198675
1083,4.655092715
1084,4.654986755
1085,4.654880795
1086,4.654774834
1087,4.654668874
1088,4.654562914
1089,4.654456954
1090,4.654350993
1091,4.654245033
1092,4.654139073
1093,4.654033113
1094,4.653927152
1095,4.653821192
1096,4.653715232
1097,4.653609272
1098,4.653503311
1099,4.653397351
1100,4.653291391
1101,4.65318543
1102,4.65307947
1103,4.65297351
1104,4.65286755
1105,4.652761589
1106,4.652655629
1107,4.652549669
1108,4.652443709
1109,4.652337748
1110,4.652231788
1111,4.652125828
1112,4.652019868
1113,4.651913907
1114,4.651807947
1115,4.651701987
1116,4.651596026
1117,4.651490066
1118,4.651384106
1119,4.651278146
1120,4.651172185
1121,4.651066225
1122,4.650960265
1123,4.650854305
1124,4.650748344
1125,4.650642384
1126,4.650536424
1127,4.650430464
1128,4.650324503
1129,4.650218543
1130,4.650112583
1131,4.650006623
1132,4.649900662
1133,4.649794702
1134,4.649688742
1135,4.649582781
1136,4.649476821
1137,4.649370861
1138,4.649264901
1139,4.64915894
1140,4.64905298
1141,4.64894702
1142,4.64884106
1143,4.648735099
1144,4.648629139
1145,4.648523179
1146,4.648417219
1147,4.648311258
1148,4.648205298
